# X  Y  P
# X=2*n1+n2, Y=sqrt(3)*n2, P=P[n2,n1]
51 19.0525588833 3.5877000000000001e-04
53 19.0525588833 4.2789999999999999e-04
55 19.0525588833 5.1606000000000004e-04
57 19.0525588833 6.2111000000000002e-04
59 19.0525588833 7.4688000000000000e-04
61 19.0525588833 8.8882000000000002e-04
63 19.0525588833 1.0295700000000001e-03
65 19.0525588833 1.1679300000000000e-03
67 19.0525588833 1.3095500000000000e-03
69 19.0525588833 1.4233200000000001e-03

12 20.7846096908 1.6139200000000000e-03
14 20.7846096908 1.6664200000000001e-03
16 20.7846096908 1.6668500000000001e-03
18 20.7846096908 1.6214900000000000e-03
20 20.7846096908 1.5195700000000000e-03
22 20.7846096908 1.4034200000000001e-03
24 20.7846096908 1.2579799999999999e-03
26 20.7846096908 1.0919300000000001e-03
28 20.7846096908 9.3293000000000000e-04
30 20.7846096908 7.7340000000000004e-04
32 20.7846096908 6.3805999999999997e-04
34 20.7846096908 5.1446000000000000e-04
36 20.7846096908 4.1449000000000000e-04
38 20.7846096908 3.3210000000000000e-04
40 20.7846096908 2.7597000000000000e-04
42 20.7846096908 2.3385999999999999e-04
44 20.7846096908 2.1822000000000001e-04
46 20.7846096908 2.1308000000000001e-04
48 20.7846096908 2.3347999999999999e-04
50 20.7846096908 2.7439000000000001e-04
52 20.7846096908 3.3474999999999998e-04
54 20.7846096908 4.1709000000000001e-04
56 20.7846096908 5.1374000000000005e-04
58 20.7846096908 6.3783999999999998e-04
60 20.7846096908 7.7539000000000004e-04
62 20.7846096908 9.2891000000000002e-04
64 20.7846096908 1.0934199999999999e-03
66 20.7846096908 1.2585999999999999e-03
68 20.7846096908 1.4063500000000000e-03
70 20.7846096908 1.5269700000000001e-03

13 22.5166604984 1.6984500000000000e-03
15 22.5166604984 1.7304200000000001e-03
17 22.5166604984 1.7084400000000001e-03
19 22.5166604984 1.6315500000000001e-03
21 22.5166604984 1.5142700000000001e-03
23 22.5166604984 1.3617900000000001e-03
25 22.5166604984 1.1926199999999999e-03
27 22.5166604984 1.0062900000000000e-03
29 22.5166604984 8.3401000000000005e-04
31 22.5166604984 6.7635999999999998e-04
33 22.5166604984 5.4317000000000005e-04
35 22.5166604984 4.2642000000000000e-04
37 22.5166604984 3.3593000000000002e-04
39 22.5166604984 2.6436000000000000e-04
41 22.5166604984 2.1650000000000000e-04
43 22.5166604984 1.8710999999999999e-04
45 22.5166604984 1.7799999999999999e-04
47 22.5166604984 1.8819000000000000e-04
49 22.5166604984 2.1525000000000000e-04
51 22.5166604984 2.6422000000000001e-04
53 22.5166604984 3.3566999999999999e-04
55 22.5166604984 4.2410000000000001e-04
57 22.5166604984 5.4476000000000004e-04
59 22.5166604984 6.8104999999999999e-04
61 22.5166604984 8.3942000000000001e-04
63 22.5166604984 1.0124400000000001e-03
65 22.5166604984 1.1879200000000001e-03
67 22.5166604984 1.3589800000000001e-03
69 22.5166604984 1.5044900000000000e-03
71 22.5166604984 1.6316099999999999e-03

14 24.248711306 1.7592500000000000e-03
16 24.248711306 1.7595300000000000e-03
18 24.248711306 1.7120499999999999e-03
20 24.248711306 1.6053700000000001e-03
22 24.248711306 1.4490300000000000e-03
24 24.248711306 1.2888299999999999e-03
26 24.248711306 1.0988100000000000e-03
28 24.248711306 9.1883999999999998e-04
30 24.248711306 7.4722000000000005e-04
32 24.248711306 5.9071999999999998e-04
34 24.248711306 4.6319999999999998e-04
36 24.248711306 3.5612000000000003e-04
38 24.248711306 2.7575000000000001e-04
40 24.248711306 2.1634000000000001e-04
42 24.248711306 1.8091000000000000e-04
44 24.248711306 1.6393000000000001e-04
46 24.248711306 1.6279000000000001e-04
48 24.248711306 1.7853000000000001e-04
50 24.248711306 2.1900000000000001e-04
52 24.248711306 2.7376000000000001e-04
54 24.248711306 3.5187000000000000e-04
56 24.248711306 4.6061000000000002e-04
58 24.248711306 5.8954000000000005e-04
60 24.248711306 7.4114999999999999e-04
62 24.248711306 9.1529999999999997e-04
64 24.248711306 1.1023100000000000e-03
66 24.248711306 1.2871800000000000e-03
68 24.248711306 1.4517000000000000e-03
70 24.248711306 1.6006099999999999e-03
72 24.248711306 1.7083900000000000e-03

15 25.9807621135 1.7798499999999999e-03
17 25.9807621135 1.7553000000000000e-03
19 25.9807621135 1.6591700000000000e-03
21 25.9807621135 1.5375700000000000e-03
23 25.9807621135 1.3826600000000000e-03
25 25.9807621135 1.1953100000000000e-03
27 25.9807621135 1.0079700000000000e-03
29 25.9807621135 8.2677000000000000e-04
31 25.9807621135 6.6189000000000005e-04
33 25.9807621135 5.1309000000000001e-04
35 25.9807621135 3.9932999999999999e-04
37 25.9807621135 3.0787000000000002e-04
39 25.9807621135 2.3863000000000001e-04
41 25.9807621135 1.8789999999999999e-04
43 25.9807621135 1.6291999999999999e-04
45 25.9807621135 1.5190000000000001e-04
47 25.9807621135 1.6040000000000000e-04
49 25.9807621135 1.8902000000000000e-04
51 25.9807621135 2.3777999999999999e-04
53 25.9807621135 3.0503000000000003e-04
55 25.9807621135 4.0065000000000001e-04
57 25.9807621135 5.1511000000000005e-04
59 25.9807621135 6.6584999999999995e-04
61 25.9807621135 8.2830999999999996e-04
63 25.9807621135 1.0031800000000000e-03
65 25.9807621135 1.1996999999999999e-03
67 25.9807621135 1.3852000000000001e-03
69 25.9807621135 1.5394300000000001e-03
71 25.9807621135 1.6697200000000000e-03
73 25.9807621135 1.7524500000000000e-03

16 27.7128129211 1.7561800000000000e-03
18 27.7128129211 1.7094600000000001e-03
20 27.7128129211 1.5993200000000000e-03
